Bulbasaur	[3,4,5,6/12,13,14,15/A-16-5,6]
Ivysaur		[6,7,8,9/10,11,12,13/3,4,5,15]
Venusaur	[5,4,3,2/0,15,14,0/0,7,6,8;0,9,8-8/0,11,10,0/13]
Charmander	[7,8,9,10-E/0,5,6,0/11,12,13-LN/16/14/A-15-16,14]
Charmeleon	[5,6,7,8/0,9,10,0/0,12-LN/16/14/A-13-9,10/A-15-16,14]
Charizard	[7,8,9,10;0,6,7,0-7/0,12,13,0-LN/16/14/A-15-16,14]
Squirtle	[12,13,14,15/0,4,5,6/7,8,9,10,11-L]
Wartortle	[12,13,14,15/0,6,7,8/0,9,10,11]
Blastoise	[7,8,9,10/0,15,16,0/0,12,13,14,0-L]
Caterpie	[7,6,5,4,3,2/15,14,13,12/0,11,10,9,8]
Metapod		[7,6,5,4,3,2]
Butterfree	[5,4,3,2/11,10,9,8-L/0,7,6,0]
Weedle		[7,8,9,10,11/13,14,15]
Kakuna		[3,4,5,6,7,8]
Beedrill	[3,4,5,6,7/12,0,13,14]
Pidgey		[]
Pidgeotto	[]
Pidgeot		[]
Rattata		[5,6,7,8/0,9,10,11,12,13/0,3,4,0-LN]
Raticate	[10,11,12,13/0,6,7,8,9/0,3,4,5]
Spearow		[7,8,9,10/11,12,13,14,15/0,4,5,6]
Fearow		[3,4,5,6,7/0,9,0,10,11,12]
Ekans		[12,13,14,15,16-LN/6,7,8,9,10/0,3,4,5-LN]
Arbok		[10,11,12,13/2/0,6,7,8-LN]
Pikachu		[3,4,5,6,7,8/0,10,11,0]
Raichu		[ 0,5,6,7,8,9/0,10,11,12,13]
Sandshrew	[4,5,6,7,8/0,9,10]
Sandslash	[]
Nidoran		[]
Nidorina	[]
Nidoqueen	[]
Nidoran		[]
Nidorino	[]
Nidoking	[]
Clefairy	[]
Clefable	[]
Vulpix		[]
Ninetales	[]
Jigglypuff	[]
Wigglytuff	[]
Zubat		[7,8,9,10/0,12,13,14]
Golbat		[6,7,8,9/0,10,11,12,13]
Oddish		[12,13,14,15/5,6,7,8/4]
Gloom		[ 0,13,14,15]
Vileplume	[]
Paras		[11,12,13,14,15/0,7,8,9/0,5,6,9]
Parasect	[12,13,14,15/7,8,9,10/0,5,6,0]
Venonat		[]
Venomoth	[]
Diglett		[13,14,15,16/3,4,5,6-LN/7,8,9,10]
Dugtrio		[13,14,15,16/3,4,5,6-LN/7,8,9,10]
Meowth		[]
Persian		[]
Psyduck		[12,13,14,15/2,3,4,5]
Golduck		[12,13,14,15/7,8,9,10/0,4,5,6-LN]
Mankey		[13,14,15,16/9,10,11,12/5,6,7-B]
Primeape	[13,14,15,16/8,9,10,11-D/0,6,7-B/0,4,5,0-D]
Growlithe	[]
Arcanine	[]
Poliwag		[12,13,14,15/9,10,11,0/A-8-13,14]
Poliwhirl	[12,13,14,15/A-11-13,14]
Poliwrath	[12,13,14,15]
Abra		[]
Kadabra		[]
Alakazam	[]
Machop		[7,6,5,4,3/12,11,10,9//0,16,15,14]
Machoke		[8,7,6,5,4/12,11,10,9/0,14,13,0-LN/0,3-D]
Machamp		[7,6,5,4/12,11,10,9,8-LN/0,13,14,0/0,3-D]
Bellsprout	[]
Weepinbell	[]
Victreebel	[]
Tentacool	[]
Tentacruel	[]
Geodude		[7,6,5,4,3]
Graveler	[7,6,5,4,3]
Golem		[0,7,8,9,10/11,12,13,14/0,5,6,0--LN]
Ponyta		[  4,5,6,7,8]
Rapidash	[]
Slowpoke	[10,11,12,13,14/0,6,7,8,0,9]
Slowbro		[12,13,14,15/0,3,4,5,0,6/0,8,9,10]
Magnemite	[]
Magneton	[]
Farfetch	[]
Doduo		[]
Dodrio		[]
Seel		[]
Dewgong		[]
Grimer		[8,9,10,11,12/0,4,5,6]
Muk			[8,9,10,11,12/0,4,5,6/A-13-10,11]
Shellder	[2,3,4,5,6/0,7,8,9]
Cloyster	[2,3,4,5,6/7,8,9,10]
Gastly		[]
Haunter		[]
Gengar		[]
Onix		[]
Drowzee		[]
Hypno		[]
Krabby		[]
Kingler		[]
Voltorb		[]
Electrode	[]
Exeggcute	[]
Exeggutor	[]
Cubone		[]
Marowak		[]
Hitmonlee	[]
Hitmonchan	[]
Lickitung	[]
Koffing		[]
Weezing		[]
Rhyhorn		[]
Rhydon		[]
Chansey		[]
Tangela		[]
Kangaskhan	[]
Horsea		[]
