Bulbasaur	[3,4,5,6/12,13,14,15/A-16-5,6]
Ivysaur		[6,7,8,9/10,11,12,13/3,4,5,15]
Venusaur	[5,4,3,2/0,15,14,0/0,7,6,8;0,9,8-8/0,11,10,0/13]
Charmander	[7,8,9,10-E/0,5,6,0/11,12,13-LN/16/14/A-15-16,14]
Charmeleon	[5,6,7,8/0,9,10,0/0,12-LN/16/14/A-13-9,10/A-15-16,14]
Charizard	[7,8,9,10;0,6,7,0-7/0,12,13,0-LN/16/14/A-15-16,14]
Squirtle	[12,13,14,15/0,4,5,6/7,8,9,10,11-L]
Wartortle	[12,13,14,15/0,6,7,8/0,9,10,11]
Blastoise	[7,8,9,10/0,15,16,0/0,12,13,14,0-L]
Caterpie	[7,6,5,4,3,2/15,14,13,12/0,11,10,9,8]
Metapod		[7,6,5,4,3,2]
Butterfree	[5,4,3,2/11,10,9,8-L/0,7,6,0]
Weedle		[7,8,9,10,11/13,14,15]
Kakuna		[3,4,5,6,7,8]
Beedrill	[3,4,5,6,7/12,0,13,14]
Pidgey		[6,7,8/0,9,10,11,12,13,14,15]
Pidgeotto	[7,8,10,11,12-LN/0,6,9,13,14,15,16-DN]
Pidgeot		[5,6-L/,13,14,15-D/11,12/8,9,10]
Rattata		[5,6,7,8/0,9,10,11,12,13/0,3,4,0-LN]
Raticate	[10,11,12,13/0,6,7,8,9/0,3,4,5]
Spearow		[7,8,9,10/11,12,13,14,15/0,4,5,6]
Fearow		[3,4,5,6,7/0,9,0,10,11,12]
Ekans		[12,13,14,15,16-LN/6,7,8,9,10/0,3,4,5-LN]
Arbok		[10,11,12,13/2/0,6,7,8-LN]
Pikachu		[3,4,5,6,7,8/0,10,11,0]
Raichu		[ 0,5,6,7,8,9/0,10,11,12,13]
Sandshrew	[4,5,6,7,8/0,9,10]
Sandslash	[2,3,4,5,6,15/0,8-L,12,13,14]
Nidoran		[2,3,4,5,6/0,9,11-LN/0,7,8]
Nidorina	[12,13,14,15/0,5,7,6-LN/0,8,9,10-DN]
Nidoqueen	[12,13,14,15/0,4,5,6,7]
Nidoran		[10,11,12,13,14/0,7,8,9-LN/0,4,5,6]
Nidorino	[11,12,13,14/0,7,8-LN/0,9-L/4,5]
Nidoking	[12,13,14,15/9,10,11-LN]
Clefairy	[12,13,14,15/7,8,9,16-D]
Clefable	[0,5,7,8,9,10/0,6,11,0/13,14-D/A-15-7,8]
Vulpix		[3,4,13,14,15,16-L/0,9,10,11,12/0,7,8,16-D]
Ninetales	[12,13,14,15/0,7,8,0/0,3,4,5-LN]
Jigglypuff	[13,14,15,16/3,4,5,6]
Wigglytuff	[9,10,11-D/0,12,13,14,15/6,7]
Zubat		[7,8,9,10/0,12,13,14]
Golbat		[6,7,8,9/0,10,11,12,13]
Oddish		[12,13,14,15/5,6,7,8/4]
Gloom		[0,11,13,14,15-LN/2,3,4,5,6,7,8,9,10]
Vileplume	[12,13,14,15-D/0,2,6,7,8,9/10,11-L/0,3,4,5-LN]
Paras		[11,12,13,14,15/0,7,8,9/0,5,6,9]
Parasect	[12,13,14,15/7,8,9,10/0,5,6,0]
Venonat		[12,13,14,15/0,5,6,7,8/9,10,11-LN]
Venomoth	[12,13,14,15,16/5,6,7,8/4]
Diglett		[13,14,15,16/3,4,5,6-LN/7,8,9,10]
Dugtrio		[13,14,15,16/3,4,5,6-LN/7,8,9,10]
Meowth		[0,13,14,15,16/10,11,12-D/0,4,5,6-DN/7,8]
Persian		[0,13,14,15,16/0,8,9,0/0,5,6,7]
Psyduck		[12,13,14,15/2,3,4,5]
Golduck		[12,13,14,15/7,8,9,10/0,4,5,6-LN]
Mankey		[13,14,15,16/9,10,11,12/5,6,7-B]
Primeape	[13,14,15,16/8,9,10,11-D/0,6,7-B/0,4,5,0-D]
Growlithe	[0,12,13,14,15/0,8,9,10,11]
Arcanine	[0,6,12,13,14,15/0,9,10,11,15]
Poliwag		[12,13,14,15/9,10,11,0/A-8-13,14]
Poliwhirl	[12,13,14,15/A-11-13,14]
Poliwrath	[12,13,14,15]
Abra		[0,10,11,12,13-L/0,6,7,8,14,15,16-D]
Kadabra		[11,12,13,14-LN/7,8,9,10,15-D/0,6-L]
Alakazam	[0,12,13,14,15-DN/0,6,7,8,9-D]
Machop		[7,6,5,4,3/12,11,10,9//0,16,15,14]
